"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"LR8F9UNH","book","2003","Doggett, Anthony Mark","Solving problems: a statistical comparison of three root cause analysis tools","","","","","\url{https://search.proquest.com/openview/40b2b2e10a4e9fe36dca56384a1539ac/1?pq-origsite=gscholar&cbl=18750&diss=y}","","2003","2021-11-22 11:44:02","2022-08-06 04:58:32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZV2KBE3R","book","2016","Varol, Serkan","Analyzing brand loyalty in automotive sector using the hidden Markov model and support vector machine","","","","","\url{https://search.proquest.com/openview/7c3cee94620bfc7da054e25430b35540/1?pq-origsite=gscholar&cbl=18750&diss=y}","","2016","2021-11-22 11:44:02","2022-08-06 05:03:03","","","","","","","","","","","","","ProQuest Dissertations Publishing","Beaumont","","","","","","","","Backup Publisher: Lamar University","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEUH34C3","book","2019","","2019 8th International Conference on Affective Computing and Intelligent Interaction (ACII)","","978-1-72813-888-6","","","","","2019","2021-11-22 11:44:02","2022-08-06 05:01:45","","","","","","","","","","","","","IEEE","","","","","","","","","DOI: 10.1109/ACII47079.2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8K8MSZSX","journalArticle","2015","Abdul Rahim, Zulhasni; Lim Sing Sheng, Issac; Nooh, Abu Bakar","TRIZ methodology for applied chemical engineering: A case study of new product development","Chemical Engineering Research and Design","","0263-8762","10.1016/j.cherd.2015.08.027","\url{https://www.sciencedirect.com/science/article/pii/s026387621500338x}","","2015","2021-11-22 11:44:02","2022-08-06 04:57:27","","11–24","","","103","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZXEEACPG","journalArticle","2013","Abele, Lisa; Anic, Maja; Gutmann, Tim; Folmer, Jens; Kleinsteuber, Martin; Vogel-Heuser, Birgit","Combining Knowledge Modeling and Machine Learning for Alarm Root Cause Analysis","IFAC Proceedings Volumes","","1474-6670","10.3182/20130619-3-RU-3018.00057","\url{https://www.sciencedirect.com/science/article/pii/s1474667016345633}","","2013","2021-11-22 11:44:02","2022-11-09 12:28:58","","1843–1848","","9","46","","","","","","","","","","","","","","","","","","","/Users/q537342/Zotero/storage/PLEJLN5P/2013_Abele_Combining_Knowledge_Modeling.pdf","","embedded learning; Bayesian networks; Knowledge modeling; Root Cause Analysis; multi-source spatio temporal data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NXURDBAT","thesis","2007","Aimeur, Esma; Brassard, Gilles; Gambs, Sebastien","Quantum Clustering Algorithms","","","","","\url{https://icml.cc/imls/conferences/2007/proceedings/papers/518.pdf}","","2007","2021-11-22 11:44:02","2022-08-06 04:57:40","","","","","","","","","","","","","Universite de Montreal","","","","PhD Thesis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PTV82EWG","journalArticle","2011","Alaeddini, Adel; Dogan, Ibrahim","Using Bayesian networks for root cause analysis in statistical process control","Expert Systems with Applications","","0957-4174","10.1016/j.eswa.2011.02.171","\url{https://www.sciencedirect.com/science/article/pii/s0957417411003952}","","2011","2021-11-22 11:44:02","2022-08-06 04:57:55","","11230–11243","","9","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V3DGGIUB","document","2020","Alufaisan, Yasmeen; Marusich, Laura R.; Bakdash, Jonathan Z.; Zhou, Yan; Kantarcioglu, Murat","Does Explainable Artificial Intelligence Improve Human Decision-Making?","","","","","\url{https://arxiv.org/pdf/2006.11194}","Explainable AI provides insight into the \textquotedblwhy\textquotedbl for model predictions, offering potential for users to better understand and trust a model, and to recognize and correct AI predictions that are incorrect. Prior research on human and explainable AI interactions has focused on measures such as interpretability, trust, and usability of the explanation. Whether explainable AI can improve actual human decision-making and the ability to identify the problems with the underlying model are open questions. Using real datasets, we compare and evaluate objective human decision accuracy without AI (control), with an AI prediction (no explanation), and AI prediction with explanation. We find providing any kind of AI prediction tends to improve user decision accuracy, but no conclusive evidence that explainable AI has a meaningful impact. Moreover, we observed the strongest predictor for human decision accuracy was AI accuracy and that users were somewhat able to detect when the AI was correct versus incorrect, but this was not significantly affected by including an explanation. Our results indicate that, at least in some situations, the \textquotedblwhy\textquotedbl information provided in explainable AI may not enhance user decision-making, and further research may be needed to understand how to integrate explainable AI into real systems.","2020-06-19","2021-11-22 11:44:02","2022-08-06 05:02:20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4SDVUXU9","journalArticle","2015","Amershi, Saleema; Cakmak, Maya; Knox, William Bradley; Kulesza, Todd","Power to the People: The Role of Humans in Interactive Machine Learning","AI Magazine","","0738-4602","10.1609/aimag.v35i4.2513","","","2015","2021-11-22 11:44:02","2022-08-06 05:02:32","","105–120","","4","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8WA57TBG","journalArticle","2021","Benbrahim Ansari, Oussama","Geo-Marketing Segmentation with Deep Learning","Businesses","","","10.3390/businesses1010005","","","2021","2021-11-22 11:44:02","2022-08-06 05:02:34","","51–71","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
