COUNTRY,BRAND,BODY_STYLE,SEGMENT,MODEL_NAME_DETAIL,SOURCE,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
GERMANY,BMW,HATCH,UKL2+,I3,Human-created forecast (2013),158,1585,4525,4268,4336,3877,3769,3622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERMANY,BMW,HATCH,UKL2+,I3,Human-created forecast (2014),,1188.75,3620,2560.8,2168,2326.2,2349.462,3537,4145,5270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERMANY,BMW,HATCH,UKL2+,I3,Human-created forecast (2015),,,2172,1792.56,1951.2,3789,3632,3479,4065,5198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERMANY,BMW,HATCH,UKL2+,I3,Human-created forecast (2018),,,,,,4950,4787,4598,4441,3967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERMANY,BMW,HATCH,UKL2+,I3,Human-created forecast (2019),,,,,,,7652,4628,4479,4001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERMANY,BMW,HATCH,UKL2+,I3,Human-created forecast (2020),,,,,,,,8531,4452,3681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERMANY,BMW,HATCH,UKL2+,I3,Human-created forecast (2021),,,,,,,,,6998,6065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERMANY,BMW,HATCH,UKL2+,I3,Human-created forecast (2022),,,,,,,,,,11553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERMANY,BMW,HATCH,UKL2+,I3,Human-created forecast (2023),,,,,,,,,,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERMANY,TESLA,SEDAN,KKL+,MODEL 3,Human-created forecast (2018),,,,,,,4382,4800,4956,4756,4423,4362,5126,5593,6325,6453,6885,6678,6721,0,0,0,0,0,0
GERMANY,TESLA,SEDAN,KKL+,MODEL 3,Human-created forecast (2019),,,,,,,8160,8579,8511,8304,7889,7543,7209,10239,10059,9643,9483,9290,9354,9123,0,0,0,0,0
GERMANY,TESLA,SEDAN,KKL+,MODEL 3,Human-created forecast (2020),,,,,,,,14225,7927,7845,7489,7203,7014,10143,10058,9828,9745,9545,9564,9357,11006,0,0,0,0
GERMANY,TESLA,SEDAN,KKL+,MODEL 3,Human-created forecast (2021),,,,,,,,,27445,36320,40787,51406,45792,48071,44597,40873,40260,50203,52047,50068,50250,48583,45850,0,0
GERMANY,TESLA,SEDAN,KKL+,MODEL 3,Human-created forecast (2022),,,,,,,,,,30912,40318,47380,50578,51606,48251,44867,44217,55770,58574,56949,58273,58089,54346,0,0
GERMANY,TESLA,SEDAN,KKL+,MODEL 3,Human-created forecast (2023),,,,,,,,,,,27774,43915,50568,51596,55113,58264,55001,54718,57166,56949,58832,58089,56346,53223,0
GERMANY,TESLA,SEDAN,KKL,MODEL 3,Human-created forecast (2024),,,,,,,,,,,,19651,24173,29323,32577,34785,32360,32173,32699,32341,34084,34018,33426,31830,30310
GERMANY,TESLA,SEDAN,MKL+,MODEL S,Human-created forecast (2014),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERMANY,TESLA,SEDAN,MKL+,MODEL S,Human-created forecast (2015),,,854,810,731,715,765,821,822,799,742,650,697,751,794,0,0,0,0,0,0,0,0,0,0
GERMANY,TESLA,SEDAN,GKL+,MODEL S,Human-created forecast (2018),,,,,,1400,1360,1324,1503,1860,1811,1763,1713,1664,1620,1578,1780,1909,1852,0,0,0,0,0,0
GERMANY,TESLA,SEDAN,GKL+,MODEL S,Human-created forecast (2019),,,,,,,1352,1304,1112,1950,1849,1734,1602,1534,1433,1355,1147,1823,1795,1732,0,0,0,0,0
GERMANY,TESLA,SEDAN,GKL+,MODEL S,Human-created forecast (2020),,,,,,,,812,1012,1139,1199,1474,1582,1361,1287,1247,1063,1956,1661,1526,1396,0,0,0,0
GERMANY,TESLA,SEDAN,GKL+,MODEL S,Human-created forecast (2021),,,,,,,,,422,1359,1661,2282,2321,2221,2170,2349,2201,4187,3520,3177,2921,3013,2759,0,0
GERMANY,TESLA,SEDAN,GKL+,MODEL S,Human-created forecast (2022),,,,,,,,,,0,144,102,1888,2392,2635,2494,3074,3511,3288,3387,3631,4018,3800,0,0
GERMANY,TESLA,SEDAN,GKL+,MODEL S,Human-created forecast (2023),,,,,,,,,,,1370,930,1998,2738,2789,2640,3254,3716,3480,3477,3763,4292,4059,4050,0
GERMANY,TESLA,SEDAN,GKL,MODEL S,Human-created forecast (2024),,,,,,,,,,,,416,934,1531,1503,1477,1795,2106,1943,2002,2209,2548,2419,2482,2547
GERMANY,BMW,HATCH,UKL2+,I3,Graph-Encoder-Decoder-created forecast (2013),,,,,,,,,,,,,,,,,,,,,,,,,
GERMANY,BMW,HATCH,UKL2+,I3,Vanilla-LSTM-created forecast (2013),,,,,,,,,,,,,,,,,,,,,,,,,
